"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","720","Sign Up page elements is visible","webkit","Fri Feb 28 08:19:19 GMT 2025","passed","Fri Feb 28 08:19:19 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1331","User is able to Login","chromium","Fri Feb 28 08:19:07 GMT 2025","passed","Fri Feb 28 08:19:09 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","1486","Contacts page elements is visible","chromium","Fri Feb 28 08:19:07 GMT 2025","passed","Fri Feb 28 08:19:08 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1719","Contacts page elements is visible","firefox","Fri Feb 28 08:19:13 GMT 2025","passed","Fri Feb 28 08:19:15 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1472","User is able to Logout","chromium","Fri Feb 28 08:19:09 GMT 2025","failed","Fri Feb 28 08:19:10 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","1552","User is able to Login","webkit","Fri Feb 28 08:19:20 GMT 2025","passed","Fri Feb 28 08:19:22 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","1041","Add Contact page elements is visible","firefox","Fri Feb 28 08:19:15 GMT 2025","passed","Fri Feb 28 08:19:16 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1692","User is able to Sign Up","chromium","Fri Feb 28 08:19:05 GMT 2025","passed","Fri Feb 28 08:19:07 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","1813","Contacts page elements is visible","webkit","Fri Feb 28 08:19:19 GMT 2025","passed","Fri Feb 28 08:19:21 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1334","Login page elements is visible","firefox","Fri Feb 28 08:19:11 GMT 2025","passed","Fri Feb 28 08:19:12 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","598","Login page elements is visible","chromium","Fri Feb 28 08:19:05 GMT 2025","passed","Fri Feb 28 08:19:06 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","995","Login page elements is visible","webkit","Fri Feb 28 08:19:17 GMT 2025","passed","Fri Feb 28 08:19:18 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","2328","User is able to Sign Up","webkit","Fri Feb 28 08:19:17 GMT 2025","passed","Fri Feb 28 08:19:20 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","2752","User is able to Sign Up","firefox","Fri Feb 28 08:19:09 GMT 2025","passed","Fri Feb 28 08:19:12 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","1723","User is able to Logout","webkit","Fri Feb 28 08:19:22 GMT 2025","failed","Fri Feb 28 08:19:24 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","525","Sign Up page elements is visible","firefox","Fri Feb 28 08:19:13 GMT 2025","passed","Fri Feb 28 08:19:13 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1058","Add Contact page elements is visible","webkit","Fri Feb 28 08:19:21 GMT 2025","passed","Fri Feb 28 08:19:22 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","284","Sign Up page elements is visible","chromium","Fri Feb 28 08:19:06 GMT 2025","passed","Fri Feb 28 08:19:07 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1586","User is able to Login","firefox","Fri Feb 28 08:19:13 GMT 2025","passed","Fri Feb 28 08:19:14 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","1525","User is able to Logout","firefox","Fri Feb 28 08:19:14 GMT 2025","failed","Fri Feb 28 08:19:16 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","680","Add Contact page elements is visible","chromium","Fri Feb 28 08:19:08 GMT 2025","passed","Fri Feb 28 08:19:09 GMT 2025","Website elements is visible","tests.spec.ts","",""
