"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1807","Login page elements is visible","firefox","Mon Feb 24 08:20:20 GMT 2025","passed","Mon Feb 24 08:20:22 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","2058","Contacts page elements is visible","chromium","Mon Feb 24 08:20:15 GMT 2025","passed","Mon Feb 24 08:20:17 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1112","Sign Up page elements is visible","webkit","Mon Feb 24 08:20:30 GMT 2025","passed","Mon Feb 24 08:20:31 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1352","Login page elements is visible","webkit","Mon Feb 24 08:20:29 GMT 2025","passed","Mon Feb 24 08:20:30 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","932","Sign Up page elements is visible","firefox","Mon Feb 24 08:20:22 GMT 2025","passed","Mon Feb 24 08:20:23 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","2329","Contacts page elements is visible","firefox","Mon Feb 24 08:20:23 GMT 2025","passed","Mon Feb 24 08:20:26 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","2492","Contacts page elements is visible","webkit","Mon Feb 24 08:20:32 GMT 2025","passed","Mon Feb 24 08:20:34 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","3152","User is able to Sign Up","firefox","Mon Feb 24 08:20:19 GMT 2025","passed","Mon Feb 24 08:20:22 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","2607","Add Contact page elements is visible","webkit","Mon Feb 24 08:20:32 GMT 2025","passed","Mon Feb 24 08:20:35 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","2083","User is able to Logout","firefox","Mon Feb 24 08:20:25 GMT 2025","failed","Mon Feb 24 08:20:27 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","1480","Add Contact page elements is visible","chromium","Mon Feb 24 08:20:17 GMT 2025","passed","Mon Feb 24 08:20:19 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","2917","User is able to Sign Up","webkit","Mon Feb 24 08:20:28 GMT 2025","failed","Mon Feb 24 08:20:31 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","2004","User is able to Logout","chromium","Mon Feb 24 08:20:17 GMT 2025","failed","Mon Feb 24 08:20:19 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","1901","Add Contact page elements is visible","firefox","Mon Feb 24 08:20:26 GMT 2025","passed","Mon Feb 24 08:20:28 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","799","Sign Up page elements is visible","chromium","Mon Feb 24 08:20:14 GMT 2025","passed","Mon Feb 24 08:20:15 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1051","Login page elements is visible","chromium","Mon Feb 24 08:20:13 GMT 2025","passed","Mon Feb 24 08:20:14 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1834","User is able to Login","chromium","Mon Feb 24 08:20:15 GMT 2025","passed","Mon Feb 24 08:20:17 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","0","User is able to Login","webkit","Mon Feb 24 08:20:32 GMT 2025","skipped","Mon Feb 24 08:20:32 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","2224","User is able to Sign Up","chromium","Mon Feb 24 08:20:13 GMT 2025","passed","Mon Feb 24 08:20:15 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","0","User is able to Logout","webkit","Mon Feb 24 08:20:32 GMT 2025","skipped","Mon Feb 24 08:20:32 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","2005","User is able to Login","firefox","Mon Feb 24 08:20:23 GMT 2025","passed","Mon Feb 24 08:20:25 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
