"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1980","Contacts page elements is visible","webkit","Fri Feb 14 10:43:27 GMT 2025","passed","Fri Feb 14 10:43:29 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","728","User is able to Sign Up","chromium","Fri Feb 14 10:43:12 GMT 2025","passed","Fri Feb 14 10:43:13 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","550","Login page elements is visible","chromium","Fri Feb 14 10:43:12 GMT 2025","passed","Fri Feb 14 10:43:13 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1626","Contacts page elements is visible","chromium","Fri Feb 14 10:43:14 GMT 2025","passed","Fri Feb 14 10:43:15 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1615","Login page elements is visible","firefox","Fri Feb 14 10:43:17 GMT 2025","passed","Fri Feb 14 10:43:19 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1894","User is able to Sign Up","firefox","Fri Feb 14 10:43:17 GMT 2025","passed","Fri Feb 14 10:43:19 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","410","Sign Up page elements is visible","chromium","Fri Feb 14 10:43:13 GMT 2025","passed","Fri Feb 14 10:43:14 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1141","Add Contact page elements is visible","firefox","Fri Feb 14 10:43:22 GMT 2025","passed","Fri Feb 14 10:43:23 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","633","User is able to Login","firefox","Fri Feb 14 10:43:20 GMT 2025","passed","Fri Feb 14 10:43:21 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","802","User is able to Login","webkit","Fri Feb 14 10:43:27 GMT 2025","passed","Fri Feb 14 10:43:28 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","1980","Contacts page elements is visible","firefox","Fri Feb 14 10:43:20 GMT 2025","passed","Fri Feb 14 10:43:22 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1701","User is able to Logout","webkit","Fri Feb 14 10:43:28 GMT 2025","passed","Fri Feb 14 10:43:30 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","1446","User is able to Logout","chromium","Fri Feb 14 10:43:14 GMT 2025","passed","Fri Feb 14 10:43:15 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","801","Sign Up page elements is visible","webkit","Fri Feb 14 10:43:27 GMT 2025","passed","Fri Feb 14 10:43:27 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1662","User is able to Sign Up","webkit","Fri Feb 14 10:43:25 GMT 2025","passed","Fri Feb 14 10:43:27 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","457","User is able to Login","chromium","Fri Feb 14 10:43:13 GMT 2025","passed","Fri Feb 14 10:43:14 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","1044","Add Contact page elements is visible","webkit","Fri Feb 14 10:43:29 GMT 2025","passed","Fri Feb 14 10:43:31 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1639","User is able to Logout","firefox","Fri Feb 14 10:43:21 GMT 2025","passed","Fri Feb 14 10:43:22 GMT 2025","User is able to Sign Up,Login and Logout","tests.spec.ts","",""
"","631","Sign Up page elements is visible","firefox","Fri Feb 14 10:43:19 GMT 2025","passed","Fri Feb 14 10:43:20 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","949","Login page elements is visible","webkit","Fri Feb 14 10:43:25 GMT 2025","passed","Fri Feb 14 10:43:26 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","772","Add Contact page elements is visible","chromium","Fri Feb 14 10:43:15 GMT 2025","passed","Fri Feb 14 10:43:16 GMT 2025","Website elements is visible","tests.spec.ts","",""
