"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1566","User is able to Logout","webkit","Mon Mar 10 08:18:38 GMT 2025","passed","Mon Mar 10 08:18:39 GMT 2025","End to end tests","tests.spec.ts","",""
"","379","Sign Up page elements is visible","firefox","Mon Mar 10 08:18:32 GMT 2025","passed","Mon Mar 10 08:18:32 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","280","Sign Up page elements is visible","chromium","Mon Mar 10 08:18:24 GMT 2025","passed","Mon Mar 10 08:18:24 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","431","Login page elements is visible","webkit","Mon Mar 10 08:18:38 GMT 2025","passed","Mon Mar 10 08:18:39 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","307","Add Contact page elements is visible","chromium","Mon Mar 10 08:18:25 GMT 2025","passed","Mon Mar 10 08:18:25 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1584","User is able to Login","webkit","Mon Mar 10 08:18:37 GMT 2025","passed","Mon Mar 10 08:18:38 GMT 2025","End to end tests","tests.spec.ts","",""
"","425","Sign Up page elements is visible","webkit","Mon Mar 10 08:18:39 GMT 2025","passed","Mon Mar 10 08:18:39 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1676","Contacts page elements is visible","firefox","Mon Mar 10 08:18:32 GMT 2025","passed","Mon Mar 10 08:18:34 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1464","User is able to Logout","firefox","Mon Mar 10 08:18:30 GMT 2025","passed","Mon Mar 10 08:18:32 GMT 2025","End to end tests","tests.spec.ts","",""
"","384","Login page elements is visible","firefox","Mon Mar 10 08:18:31 GMT 2025","passed","Mon Mar 10 08:18:32 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","4184","User is able to Add a Contact on Contact Page","firefox","Mon Mar 10 08:18:26 GMT 2025","passed","Mon Mar 10 08:18:30 GMT 2025","End to end tests","tests.spec.ts","",""
"","336","Login page elements is visible","chromium","Mon Mar 10 08:18:24 GMT 2025","passed","Mon Mar 10 08:18:24 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1776","Contacts page elements is visible","webkit","Mon Mar 10 08:18:39 GMT 2025","passed","Mon Mar 10 08:18:41 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1740","User is able to Sign Up","chromium","Mon Mar 10 08:18:20 GMT 2025","passed","Mon Mar 10 08:18:22 GMT 2025","End to end tests","tests.spec.ts","",""
"","1347","User is able to Logout","chromium","Mon Mar 10 08:18:23 GMT 2025","passed","Mon Mar 10 08:18:25 GMT 2025","End to end tests","tests.spec.ts","",""
"","1459","Contacts page elements is visible","chromium","Mon Mar 10 08:18:24 GMT 2025","passed","Mon Mar 10 08:18:26 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","3082","User is able to Add a Contact on Contact Page","chromium","Mon Mar 10 08:18:20 GMT 2025","passed","Mon Mar 10 08:18:23 GMT 2025","End to end tests","tests.spec.ts","",""
"","610","Add Contact page elements is visible","webkit","Mon Mar 10 08:18:40 GMT 2025","passed","Mon Mar 10 08:18:40 GMT 2025","Website elements is visible","tests.spec.ts","",""
"","1463","User is able to Login","firefox","Mon Mar 10 08:18:30 GMT 2025","passed","Mon Mar 10 08:18:31 GMT 2025","End to end tests","tests.spec.ts","",""
"","1412","User is able to Login","chromium","Mon Mar 10 08:18:22 GMT 2025","passed","Mon Mar 10 08:18:24 GMT 2025","End to end tests","tests.spec.ts","",""
"","3799","User is able to Add a Contact on Contact Page","webkit","Mon Mar 10 08:18:34 GMT 2025","passed","Mon Mar 10 08:18:37 GMT 2025","End to end tests","tests.spec.ts","",""
"","1870","User is able to Sign Up","webkit","Mon Mar 10 08:18:35 GMT 2025","passed","Mon Mar 10 08:18:37 GMT 2025","End to end tests","tests.spec.ts","",""
"","2721","User is able to Sign Up","firefox","Mon Mar 10 08:18:26 GMT 2025","passed","Mon Mar 10 08:18:29 GMT 2025","End to end tests","tests.spec.ts","",""
"","562","Add Contact page elements is visible","firefox","Mon Mar 10 08:18:32 GMT 2025","passed","Mon Mar 10 08:18:33 GMT 2025","Website elements is visible","tests.spec.ts","",""
